"CORP_ID"|"CORP_NAME"|"CORP_FUNCTION"|"DASHBOARD_VERSION"|"SEMANTIC_VIEW_NAME"|"GEO_GRANULARITY"|"DATE_GRANULARITY"|"METRIC_NAME"|"METRIC_DISPLAY_NAME"|"METRIC_DISPLAY_SHORT_NAME"|"METRIC_UOM"|"DASH_VIZ_DISPLAY_NAME"|"METRIC_VAL_IND_SEL"|"DOMAIN_NAME"|"SUBDOMAIN_1_NAME"|"SUBDOMAIN_2_NAME"|"SUBDOMAIN_3_NAME"|"DATA_SOURCE_NAME"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Consumer Price Index"|"CPI"|"CPI"|""|"Consumer Price Index (CPI)"|"I"|"Consumer Price Index"|"Total"|"Total"|"Total"|"BLS"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Consumer Sentiment Index"|"Consumer Sentiment Index"|"Consumer Sentiment"|""|"Consumer Sentiment Index (MCSI)"|"I"|"Consumer Sentiment Index"|""|""|""|"Consumer Sentiment Index"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Net Sales"|"Monthly Sales Amount"|"Sales Amt (Monthly)"|"USD"|"Monthly Sales Amount (USD)"|"V"|"Net Sales"|"Total"|"Total"|"Total"|"Customer Data Warehouse"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Personal Consumption Expenditure (Product Details)"|"Household - Food Services & Accommodation"|"Food Service & Housing"|"USD"|"Consumer Spend - Food Service & Accommodation"|"V"|"Services"|"Household consumption expenditures (for services)"|"Food services and accommodations"|"Total"|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Personal Consumption Expenditure (Product Details)"|"New motor vehicles"|"New motor vehicles"|"USD"|"Consumer Spend - New Motor Vehicles"|"V"|"Goods"|"Durable goods"|"Motor vehicles and parts"|"New motor vehicles (55)"|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Personal Consumption Expenditure (Product Details)"|"Computer sales personal"|"Computer sales"|"USD"|"Computer sales"|"V"|"Goods"|"Durable goods"|"Recreational goods and vehicles"|"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)"|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Personal Consumption Expenditure (Product Details)"|"Net purchases of used motor vehicles (56)"|"Used vehicles sales"|"USD"|"Consumer Spend - Used Motor Vehicles"|"V"|"Goods"|"Durable goods"|"Motor vehicles and parts"|"Net purchases of used motor vehicles (56)"|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Personal Consumption Expenditure (Product Details)"|"Household - Clothing & Footwear"|"Clothing & Footwear"|"USD"|"Consumer Spend - Clothing & Footwear"|"V"|"Goods"|"Nondurable goods"|"Clothing and footwear"|"Total"|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Unemployment Level"|"Unemployment Level"|"Unemployment Level"|"Persons"|"Unemployment"|"V"|"Unemployment Level"|"Total"|"Total"|"Total"|"BLS"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"Country"|"Monthly"|"Unemployment Rate"|"Unemployment Rate"|"Unemployment Rate"|"%"|"Unemployment Rate"|"V"|"Unemployment Rate"|"Total"|"Total"|"Total"|"BLS"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"COUNTRY"|"WEEKLY"|"US Product Supplied 4WKAVG"|"Motor Gasoline 4WKAVG"|"Motor Gasoline"|"Barrels per day"|"Motor Gasoline Supplied 4WKAVG"|"V"|"Fuel Supply"|"Motor Gasoline"|"Total"|"Total"|"US-EIA"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"COUNTRY"|"WEEKLY"|"US Product Supplied 4WKAVG"|"All Petro-Products"|"All Petro-Products"|"Barrels per day"|"All Petro Product Supplied 4WKAVG"|"V"|"Fuel Supply"|"All Petro-Products"|"Total"|"Total"|"US-EIA"
"1"|"TDC"|"Generic"|"1"|"F_IND_DASH_MACROECONOMICS_VIZ_V"|"COUNTRY"|"WEEKLY"|"US Product Supplied 4WKAVG"|"Jet Fuel 4WKAVG"|"Jet Fuel"|"Barrels per day"|"Jet Fuel Supplied 4WKAVG"|"V"|"Fuel Supply"|"Jet Fuel"|"Total"|"Total"|"US-EIA"




