"CLient_nbr"|"Client_name"|"Site_Id"|"Site_Type"|"Address"|"City"|"State"|"Zipcode"|"Region"|"Country_cd"|"Nbr_at_location"|"People_type"
"1"|"Teradata"|"office-27612"|"Employee"|"n/a"|"Raleigh"|"NC"|"27612"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-63017"|"Employee"|"n/a"|"Chesterfield"|"MO"|"63017"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-30319"|"Employee"|"n/a"|"Atlanta"|"GA"|"30319"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-30269"|"Employee"|"n/a"|"Peachtree City"|"GA"|"30269"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-43160"|"Employee"|"n/a"|"Washington Court House"|"OH"|"43160"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-94122"|"Employee"|"n/a"|"San Francisco"|"CA"|"94122"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-75701"|"Employee"|"n/a"|"Tyler"|"TX"|"75701"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-63366"|"Employee"|"n/a"|"O Fallon"|"MO"|"63366"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-20170"|"Employee"|"n/a"|"Herndon"|"VA"|"20170"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-95062"|"Employee"|"n/a"|"Santa Cruz"|"CA"|"95062"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-21550"|"Employee"|"n/a"|"Oakland"|"MD"|"21550"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30115"|"Employee"|"n/a"|"Canton"|"GA"|"30115"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-85281"|"Employee"|"n/a"|"Tempe"|"AZ"|"85281"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30019"|"Employee"|"n/a"|"Dacula"|"GA"|"30019"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-92592"|"Employee"|"n/a"|"Temecula"|"CA"|"92592"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-55104"|"Employee"|"n/a"|"Saint Paul"|"MN"|"55104"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"office-92653"|"Employee"|"n/a"|"Laguna Hills"|"CA"|"92653"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-90240"|"Employee"|"n/a"|"Downey"|"CA"|"90240"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-32169"|"Employee"|"n/a"|"New Smyrna Beach"|"FL"|"32169"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-45068"|"Employee"|"n/a"|"Waynesville"|"OH"|"45068"|"AMERICAS"|"USA"|"3"|"Virtual"
"1"|"Teradata"|"Virtual-27612"|"Employee"|"n/a"|"Raleigh"|"NC"|"27612"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-95032"|"Employee"|"n/a"|"Los Gatos"|"CA"|"95032"|"AMERICAS"|"USA"|"6"|"Office"
"1"|"Teradata"|"Virtual-85212"|"Employee"|"n/a"|"Mesa"|"AZ"|"85212"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-92082"|"Employee"|"n/a"|"Valley Center"|"CA"|"92082"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-6903"|"Employee"|"n/a"|"Stamford"|"CT"|"06903"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-75503"|"Employee"|"n/a"|"Texarkana"|"TX"|"75503"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-92673"|"Employee"|"n/a"|"San Clemente"|"CA"|"92673"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"Virtual-55374"|"Employee"|"n/a"|"Rogers"|"MN"|"55374"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-98040"|"Employee"|"n/a"|"Mercer Island"|"WA"|"98040"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-98102"|"Employee"|"n/a"|"Seattle"|"WA"|"98102"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"Virtual-32409"|"Employee"|"n/a"|"Panama City"|"FL"|"32409"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-43081"|"Employee"|"n/a"|"Westerville"|"OH"|"43081"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-92105"|"Employee"|"n/a"|"San Diego"|"CA"|"92105"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-92604"|"Employee"|"n/a"|"Irvine"|"CA"|"92604"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-60045"|"Employee"|"n/a"|"Lake Forest"|"IL"|"60045"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-94503"|"Employee"|"n/a"|"American Canyon"|"CA"|"94503"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-45414"|"Employee"|"n/a"|"Dayton"|"OH"|"45414"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-83669"|"Employee"|"n/a"|"Star"|"ID"|"83669"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-48198"|"Employee"|"n/a"|"Ypsilanti"|"MI"|"48198"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-37807"|"Employee"|"n/a"|"Maynardville"|"TN"|"37807"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-18940"|"Employee"|"n/a"|"Newtown"|"PA"|"18940"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-75206"|"Employee"|"n/a"|"Dallas"|"TX"|"75206"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-90230"|"Employee"|"n/a"|"Culver City"|"CA"|"90230"|"AMERICAS"|"USA"|"3"|"Office"
"1"|"Teradata"|"office-94583"|"Employee"|"n/a"|"San Ramon"|"CA"|"94583"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-90013"|"Employee"|"n/a"|"Los Angeles"|"CA"|"90013"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-45420"|"Employee"|"n/a"|"Dayton"|"OH"|"45420"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-27606"|"Employee"|"n/a"|"Raleigh"|"NC"|"27606"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"office-92114"|"Employee"|"n/a"|"San Diego"|"CA"|"92114"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-45230"|"Employee"|"n/a"|"Cincinnati"|"OH"|"45230"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-91748"|"Employee"|"n/a"|"Rowland Heights"|"CA"|"91748"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-10128"|"Employee"|"n/a"|"New York"|"NY"|"10128"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-28904"|"Employee"|"n/a"|"Hayesville"|"NC"|"28904"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-91702"|"Employee"|"n/a"|"Azusa"|"CA"|"91702"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-92054"|"Employee"|"n/a"|"Oceanside"|"CA"|"92054"|"AMERICAS"|"USA"|"6"|"Office"
"1"|"Teradata"|"office-80424"|"Employee"|"n/a"|"Breckenridge"|"CO"|"80424"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-75068"|"Employee"|"n/a"|"Little Elm"|"TX"|"75068"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-75043"|"Employee"|"n/a"|"Garland"|"TX"|"75043"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-90064"|"Employee"|"n/a"|"Los Angeles"|"CA"|"90064"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-92154"|"Employee"|"n/a"|"San Diego"|"CA"|"92154"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"Virtual-90266"|"Employee"|"n/a"|"Manhattan Beach"|"CA"|"90266"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-75087"|"Employee"|"n/a"|"Rockwall"|"TX"|"75087"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-30004"|"Employee"|"n/a"|"Alpharetta"|"GA"|"30004"|"AMERICAS"|"USA"|"5"|"Office"
"1"|"Teradata"|"office-92130"|"Employee"|"n/a"|"San Diego"|"CA"|"92130"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-8812"|"Employee"|"n/a"|"Dunellen"|"NJ"|"08812"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-98052"|"Employee"|"n/a"|"Redmond"|"WA"|"98052"|"AMERICAS"|"USA"|"7"|"Office"
"1"|"Teradata"|"Virtual-45419"|"Employee"|"n/a"|"Dayton"|"OH"|"45419"|"AMERICAS"|"USA"|"6"|"Virtual"
"1"|"Teradata"|"Virtual-80503"|"Employee"|"n/a"|"Longmont"|"CO"|"80503"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-32401"|"Employee"|"n/a"|"Panama City"|"FL"|"32401"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-95112"|"Employee"|"n/a"|"San Jose"|"CA"|"95112"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-45247"|"Employee"|"n/a"|"Cincinnati"|"OH"|"45247"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-45140"|"Employee"|"n/a"|"Loveland"|"OH"|"45140"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"office-91978"|"Employee"|"n/a"|"Spring Valley"|"CA"|"91978"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-29130"|"Employee"|"n/a"|"Ridgeway"|"SC"|"29130"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-45324"|"Employee"|"n/a"|"Fairborn"|"OH"|"45324"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-95742"|"Employee"|"n/a"|"Rancho Cordova"|"CA"|"95742"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-30005"|"Employee"|"n/a"|"Alpharetta"|"GA"|"30005"|"AMERICAS"|"USA"|"5"|"Office"
"1"|"Teradata"|"office-90275"|"Employee"|"n/a"|"Rancho Palos Verdes"|"CA"|"90275"|"AMERICAS"|"USA"|"5"|"Office"
"1"|"Teradata"|"office-90504"|"Employee"|"n/a"|"Torrance"|"CA"|"90504"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"office-27609"|"Employee"|"n/a"|"Raleigh"|"NC"|"27609"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-93536"|"Employee"|"n/a"|"Lancaster"|"CA"|"93536"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-95136"|"Employee"|"n/a"|"San Jose"|"CA"|"95136"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-80138"|"Employee"|"n/a"|"Parker"|"CO"|"80138"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-15317"|"Employee"|"n/a"|"Canonsburg"|"PA"|"15317"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-8817"|"Employee"|"n/a"|"Edison"|"NJ"|"08817"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-92056"|"Employee"|"n/a"|"Oceanside"|"CA"|"92056"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-48348"|"Employee"|"n/a"|"Clarkston"|"MI"|"48348"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-45315"|"Employee"|"n/a"|"Clayton"|"OH"|"45315"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-10002"|"Employee"|"n/a"|"New York"|"NY"|"10002"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-27408"|"Employee"|"n/a"|"Greensboro"|"NC"|"27408"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-75215"|"Employee"|"n/a"|"Dallas"|"TX"|"75215"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-92595"|"Employee"|"n/a"|"Wildomar"|"CA"|"92595"|"AMERICAS"|"USA"|"3"|"Office"
"1"|"Teradata"|"Virtual-60614"|"Employee"|"n/a"|"Chicago"|"IL"|"60614"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-19067"|"Employee"|"n/a"|"Morrisville"|"PA"|"19067"|"AMERICAS"|"USA"|"1"|"Virtual"
