"CLient_nbr"|"Client_name"|"Site_Id"|"Site_Type"|"Address"|"City"|"State"|"Zipcode"|"Region"|"Country_cd"|"FTE_HC_at_Location"|"Contingent_HC_at_Location"|"Number_of_Desks"|"Average_Attendance"|"Security_Type"
"200813"|"Disney Studios"|"2314"|"Theatres"|"17063 CR 306             "|"BUENA VISTA    "|"CO "|"81211"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9811"|"Theatres"|"1405 PACIFIC             "|"SANTA CRUZ     "|"CA "|"95060"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8188"|"Theatres"|"2706 PLEASANT PLANE ROAD "|"DAYTON         "|"OH "|"45322"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"755"|"Theatres"|"P.O. BOX 269             "|"ADA            "|"MN "|"56510"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"6150"|"Theatres"|"219 N MAIN ST            "|"BOLIVAR        "|"TN "|"38008"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13190"|"Theatres"|"CELEBRITY CRUISES        "|"MIAMI          "|"FL "|"33126"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16536"|"Theatres"|"455 SOUTH BIBB ST.       "|"EAGLE PASS     "|"TX "|"78852"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"5762"|"Theatres"|"7640 S. OLD STATE ROAD 27"|"BLOOMINGTON    "|"IN "|"47403"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16105"|"Theatres"|"SUSANNA COX              "|"BAKERSFIELD    "|"CA "|"93311"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16554"|"Theatres"|"3960 LIMELIGHT AVE.      "|"CASTLE ROCK    "|"CO "|"80109"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3964"|"Theatres"|"MEADOWDALE SHOP CENTER   "|"CARPENTERSVILLE"|"IL "|"60110"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"5923"|"Theatres"|"1998 BROADWAY            "|"NEW YORK       "|"NY "|"10023"|""|"USA "|""|""|""|""|""
