"ROW_KEY"|"DOMAIN_NAME"|"SUBDOMAIN_1_NAME"|"SUBDOMAIN_2_NAME"|"SUBDOMAIN_3_NAME"|"PERIOD_MMM-YYYY"|"METRIC_NAME"|"METRIC_INDEX"|"METRIC_VALUE"|"DATA_SOURCE_NAME"|"DATA_SOURCE_DESC"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jan-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6535338"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jan-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"862295"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Feb-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6619651"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Feb-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"865936"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Mar-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6685803"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Mar-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"868198"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Apr-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6671068"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Apr-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"869207"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"May-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6707569"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"May-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"868612"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
