ROW_KEY|"DOMAIN_NAME"|"SUBDOMAIN_1_NAME"|"SUBDOMAIN_2_NAME"|"SUBDOMAIN_3_NAME"|"SUBDOMAIN_4_NAME"|"PERIOD_MMM-YYYY"|"METRIC_NAME"|METRIC_INDEX|METRIC_VALUE|"DATA_SOURCE_NAME"|"DATA_SOURCE_DESC" 
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Feb-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14785141|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jun-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13912878|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Nov-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14667630|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jul-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   15791675|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Nov-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14187787|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Feb-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14699583|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jan-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14769942|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jul-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14129234|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jul-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14487363|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jun-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14425652|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"May-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14372190|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Aug-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14270546|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Aug-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14014491|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Oct-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14546011|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Mar-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13762185|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
