"location_name"|"location_id"|"peak_bed_day_mean"|"peak_bed_day_lower"|"peak_bed_day_upper"|"peak_icu_bed_day_mean"|"peak_icu_bed_day_lower"|"peak_icu_bed_day_upper"|"peak_vent_day_mean"|"peak_vent_day_lower"|"peak_vent_day_upper"|"all_bed_capacity"|"icu_bed_capacity"|"all_bed_usage"|"icu_bed_usage"|"available_all_nbr"|"available_icu_nbr"|"travel_limit_start_date"|"travel_limit_end_date"|"stay_home_start_date"|"stay_home_end_date"|"educational_fac_start_date"|"educational_fac_end_date"|"any_gathering_restrict_start_date"|"any_gathering_restrict_end_date"|"any_business_start_date"|"any_business_end_date"|"all_non-ess_business_start_date"|"all_non-ess_business_end_date"|"Path_Update_Dt"|"current_dttm"
"Abruzzo"|"35507"|"2021-12-26"|"2020-04-04"|"2021-12-26"|"2021-12-26"|"2020-04-02"|"2021-12-26"|"2021-12-26"|"2020-04-02"|"2021-12-26"|"4500.0"|"96.0"|"3494.0"|"68.0"|"1006.0"|"28.0"|"2020-03-22"|"2020-05-04"|"2020-03-11"|"2020-06-03"|"2020-03-05"|""|"2020-03-11"|""|"2020-03-11"|"2020-06-15"|"2020-03-11"|"2020-04-14"|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Acre"|"4750"|"2020-06-08"|"2020-06-08"|"2020-09-01"|"2020-06-08"|"2020-06-08"|"2020-09-01"|"2020-06-08"|"2020-06-08"|"2020-08-31"|"1316.0"|"44.0"|"1027.0"|"37.0"|"289.0"|"7.0"|""|""|""|""|"2020-03-16"|""|"2020-03-20"|""|"2020-03-17"|""|"2020-03-17"|"2020-06-22"|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Afghanistan"|"160"|"2021-02-22"|"2020-07-07"|"2021-04-14"|"2021-02-23"|"2020-07-08"|"2021-04-14"|"2021-02-22"|"2020-07-07"|"2021-04-14"|"16946.0"|"1364.0"|"11660.0"|"924.0"|"5286.0"|"440.0"|""|""|""|""|"2020-03-14"|""|"2020-03-18"|""|"2020-03-18"|""|""|""|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Aguascalientes"|"4643"|"2020-11-09"|"2020-11-06"|"2021-12-26"|"2020-11-10"|"2020-11-06"|"2021-12-26"|"2020-11-09"|"2020-11-06"|"2021-12-26"|"1414.0"|"78.0"|"986.0"|"65.0"|"428.0"|"13.0"|""|""|"2020-06-22"|""|"2020-03-19"|""|"2020-03-13"|""|"2020-03-23"|""|"2020-03-30"|""|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Alabama"|"523"|"2020-12-05"|"2020-07-24"|"2021-03-14"|"2020-12-03"|"2020-07-22"|"2021-03-06"|"2020-12-03"|"2020-07-22"|"2021-03-06"|"17537.0"|"1525.0"|"11793.0"|"1050.0"|"5744.0"|"475.0"|""|""|"2020-04-04"|"2020-04-30"|"2020-03-19"|""|"2020-03-19"|""|"2020-03-19"|"2020-06-15"|"2020-03-28"|"2020-04-30"|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Alagoas"|"4751"|"2021-06-14"|"2020-06-11"|"2021-06-17"|"2021-06-14"|"2020-06-10"|"2021-06-17"|"2021-06-14"|"2020-06-10"|"2021-06-17"|"5244.0"|"291.0"|"4103.0"|"250.0"|"1141.0"|"41.0"|""|""|""|""|"2020-03-17"|""|"2020-03-16"|""|"2020-04-07"|""|"2020-04-07"|"2020-05-06"|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Alaska"|"524"|"2020-08-03"|"2020-07-29"|"2020-08-09"|"2020-08-03"|"2020-07-29"|"2020-08-07"|"2020-08-02"|"2020-07-29"|"2020-08-07"|"2034.0"|"169.0"|"1351.0"|"115.0"|"683.0"|"54.0"|"2020-03-28"|""|"2020-03-28"|"2020-04-24"|"2020-03-16"|""|"2020-03-24"|"2020-05-22"|"2020-03-17"|"2020-05-22"|"2020-03-28"|"2020-04-24"|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Albania"|"43"|"2020-12-11"|"2020-07-31"|"2020-12-15"|"2020-12-10"|"2020-07-30"|"2020-12-13"|"2020-12-10"|"2020-07-29"|"2020-12-12"|"7733.0"|"213.0"|"3831.0"|"71.0"|"3902.0"|"142.0"|"2020-03-14"|"2020-06-01"|"2020-03-12"|"2020-06-01"|"2020-03-08"|""|"2020-03-12"|""|"2020-03-11"|""|"2020-03-14"|"2020-04-20"|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Alberta"|"43858"|"2020-12-17"|"2020-04-24"|"2021-12-26"|"2020-12-16"|"2020-04-23"|"2021-12-26"|"2020-12-16"|"2020-04-22"|"2021-12-26"|""|""|""|""|""|""|""|""|""|""|"2020-03-16"|""|"2020-03-12"|""|"2020-03-18"|""|""|""|"2020_08_06"|"2020-08-14 11:28:55.441288"
"Algeria"|"139"|"2020-12-19"|"2020-12-16"|"2020-12-22"|"2020-12-19"|"2020-12-18"|"2020-12-22"|"2020-12-19"|"2020-12-16"|"2020-12-22"|"69667.0"|"3157.0"|"44329.0"|"1958.0"|"25338.0"|"1199.0"|""|""|""|""|"2020-03-12"|""|"2020-03-17"|""|"2020-03-22"|""|""|""|"2020_08_06"|"2020-08-14 11:28:55.441288"
