"Travel_Date"|"TravelThroughPut"|"TravelThroughPutLastYear"|"current_dttm"
"8/11/2020"|"559420.0"|"2306829.0"|"2020-08-12 07:48:07.151243"
"8/10/2020"|"761861.0"|"2567986.0"|"2020-08-12 07:48:07.151243"
"8/9/2020"|"831789.0"|"2647897.0"|"2020-08-12 07:48:07.151243"
"8/8/2020"|"683212.0"|"2290340.0"|"2020-08-12 07:48:07.151243"
"8/7/2020"|"762547.0"|"2725000.0"|"2020-08-12 07:48:07.151243"
"8/6/2020"|"743599.0"|"2707986.0"|"2020-08-12 07:48:07.151243"
"8/5/2020"|"595739.0"|"2430094.0"|"2020-08-12 07:48:07.151243"
"8/4/2020"|"543601.0"|"2387115.0"|"2020-08-12 07:48:07.151243"
"8/3/2020"|"737235.0"|"2619406.0"|"2020-08-12 07:48:07.151243"
"8/2/2020"|"799861.0"|"2688640.0"|"2020-08-12 07:48:07.151243"
"8/1/2020"|"709033.0"|"2367967.0"|"2020-08-12 07:48:07.151243"
"7/31/2020"|"767320.0"|"2730936.0"|"2020-08-12 07:48:07.151243"
"7/30/2020"|"718310.0"|"2742882.0"|"2020-08-12 07:48:07.151243"
"7/29/2020"|"573200.0"|"2542365.0"|"2020-08-12 07:48:07.151243"
"7/28/2020"|"536756.0"|"2438967.0"|"2020-08-12 07:48:07.151243"
"7/27/2020"|"700043.0"|"2613346.0"|"2020-08-12 07:48:07.151243"
"7/26/2020"|"751205.0"|"2700723.0"|"2020-08-12 07:48:07.151243"
"7/25/2020"|"649027.0"|"2364925.0"|"2020-08-12 07:48:07.151243"
"7/24/2020"|"724770.0"|"2732770.0"|"2020-08-12 07:48:07.151243"
"7/23/2020"|"704815.0"|"2705399.0"|"2020-08-12 07:48:07.151243"
"7/22/2020"|"570951.0"|"2561911.0"|"2020-08-12 07:48:07.151243"
"7/21/2020"|"530421.0"|"2499460.0"|"2020-08-12 07:48:07.151243"
"7/20/2020"|"695330.0"|"2635312.0"|"2020-08-12 07:48:07.151243"
"7/19/2020"|"747422.0"|"2727355.0"|"2020-08-12 07:48:07.151243"
"7/18/2020"|"646654.0"|"2396462.0"|"2020-08-12 07:48:07.151243"
"7/17/2020"|"720378.0"|"2776960.0"|"2020-08-12 07:48:07.151243"
"7/16/2020"|"706164.0"|"2716828.0"|"2020-08-12 07:48:07.151243"
"7/15/2020"|"589285.0"|"2522563.0"|"2020-08-12 07:48:07.151243"
"7/14/2020"|"540268.0"|"2447177.0"|"2020-08-12 07:48:07.151243"
"7/13/2020"|"697985.0"|"2615115.0"|"2020-08-12 07:48:07.151243"
"7/12/2020"|"754545.0"|"2669717.0"|"2020-08-12 07:48:07.151243"
"7/11/2020"|"656284.0"|"2312178.0"|"2020-08-12 07:48:07.151243"
"7/10/2020"|"711124.0"|"2716812.0"|"2020-08-12 07:48:07.151243"
"7/9/2020"|"709653.0"|"2608209.0"|"2020-08-12 07:48:07.151243"
"7/8/2020"|"632498.0"|"2515902.0"|"2020-08-12 07:48:07.151243"
"7/7/2020"|"641761.0"|"2506859.0"|"2020-08-12 07:48:07.151243"
