"CLNSNG_CD"|"CLNSNG_SRC"|"CLNSNG_TRGT"|"CLNSNG_DESC"
"County"|"Trujillo Alto Municipio"|"Trujillo Alto"|"remove extra descriptive and special characters"
"County"|"Colonial Heights City"|"Colonial Heights"|"remove extra descriptive and special characters"
"COUNTY"|"Doña Ana County"|"Dona Ana County"|"special character "
"County"|"Charlottesville City"|"Charlottesville"|"remove extra descriptive and special characters"
"County"|"Toa Baja Municipio"|"Toa Baja"|"remove extra descriptive and special characters"
"County"|"Anchorage Municipality"|"Anchorage"|"remove extra descriptive and special characters"
"County"|"East Feliciana"|"East Feliciana"|"remove extra descriptive and special characters"
"County"|"Hopewell City"|"Hopewell"|"remove extra descriptive and special characters"
"County"|"Dorado Municipio"|"Dorado"|"remove extra descriptive and special characters"
"County"|"Humacao Municipio"|"Humacao"|"remove extra descriptive and special characters"
"County"|"Ponce Municipio"|"Ponce"|"remove extra descriptive and special characters"
"County"|"Aguadilla Municipio"|"Aguadilla"|"remove extra descriptive and special characters"
"County"|"Pointe Coupee"|"Pointe Coupee"|"remove extra descriptive and special characters"
"County"|"La Salle Parish"|"La Salle"|"Remove parish"
"County"|"Hampton City"|"Hampton"|"remove extra descriptive and special characters"
"County"|"Manassas Park City"|"Manassas Park"|"remove extra descriptive and special characters"
"County"|"Arecibo Municipio"|"Arecibo"|"remove extra descriptive and special characters"
"County"|"Lynchburg City"|"Lynchburg"|"remove extra descriptive and special characters"
"County"|"Carolina Municipio"|"Carolina"|"remove extra descriptive and special characters"
"County"|"Virginia Beach City"|"Virginia Beach"|"remove extra descriptive and special characters"
"County"|"Harrisonburg City"|"Harrisonburg"|"remove extra descriptive and special characters"
"County"|"Bristol City"|"Bristol"|"remove extra descriptive and special characters"
"County"|"Chesapeake City"|"Chesapeake"|"remove extra descriptive and special characters"
"County"|"Alexandria City"|"Alexandria"|"remove extra descriptive and special characters"
"County"|"Plaquemines"|"Plaquemines"|"remove extra descriptive and special characters"
"County"|"Juneau City and Borough"|"Juneau and"|"remove extra descriptive and special characters"
"County"|"Salem City"|"Salem"|"remove extra descriptive and special characters"
"County"|"Fredericksburg City"|"Fredericksburg"|"remove extra descriptive and special characters"
"County"|"Winchester City"|"Winchester"|"remove extra descriptive and special characters"
"County"|"Acadia Parish"|"Acadia"|"PArish is not in geo_location view"
"County"|"Suffolk City"|"Suffolk"|"remove extra descriptive and special characters"
"County"|"St. Tammany"|"St. Tammany"|"remove extra descriptive and special characters"
"County"|"Martinsville City"|"Martinsville"|"remove extra descriptive and special characters"
"County"|"Portsmouth City"|"Portsmouth"|"remove extra descriptive and special characters"
"County"|"Newport News City"|"Newport News"|"remove extra descriptive and special characters"
"County"|"Río Grande Municipio"|"Rio Grande"|"remove extra descriptive and special characters"
"County"|"Kenai Peninsula Borough"|"Kenai Peninsula"|"remove extra descriptive and special characters"
"County"|"Caguas Municipio"|"Caguas"|"remove extra descriptive and special characters"
"County"|"Guaynabo Municipio"|"Guaynabo"|"remove extra descriptive and special characters"
"County"|"Petersburg City"|"Petersburg"|"remove extra descriptive and special characters"
"County"|"Manassas City"|"Manassas"|"remove extra descriptive and special characters"
"County"|"Danville City"|"Danville"|"remove extra descriptive and special characters"
"County"|"Williamsburg City"|"Williamsburg"|"remove extra descriptive and special characters"
"County"|"Waynesboro City"|"Waynesboro"|"remove extra descriptive and special characters"
"County"|"Gurabo Municipio"|"Gurabo"|"remove extra descriptive and special characters"
"County"|"Fairbanks North Star Borough"|"Fairbanks North Star"|"remove extra descriptive and special characters"
"County"|"Falls Church City"|"Falls Church"|"remove extra descriptive and special characters"
"County"|"Norfolk City"|"Norfolk"|"remove extra descriptive and special characters"
"County"|"Staunton City"|"Staunton"|"remove extra descriptive and special characters"
"County"|"Mayagüez Municipio"|"Mayaguez"|"remove extra descriptive and special characters"
"County"|"Bayamón Municipio"|"Bayamon"|"remove extra descriptive and special characters"
"County"|"San Juan Municipio"|"San Juan"|"remove extra descriptive and special characters"
"County"|"Matanuska-Susitna Borough"|"Matanuska-Susitna"|"remove extra descriptive and special characters"
